[2026-06-30 14:00:38] ACTION: get_clientes | PARAMS: {} | STATUS: OK | ROWS: 0 | TIME: 128ms
[2026-06-30 14:01:09] ACTION: get_clientes | PARAMS: {} | STATUS: OK | ROWS: 25000 | TIME: 214ms
[2026-06-30 14:03:14] ACTION: get_clientes | PARAMS: {} | STATUS: OK | ROWS: 25000 | TIME: 293ms
[2026-06-30 14:03:15] ACTION: get_clientes | PARAMS: {} | STATUS: OK | ROWS: 25000 | TIME: 555ms
[2026-06-30 14:03:15] ACTION: get_clientes | PARAMS: {} | STATUS: OK | ROWS: 25000 | TIME: 203ms
[2026-06-30 14:03:15] ACTION: get_clientes | PARAMS: {} | STATUS: OK | ROWS: 25000 | TIME: 403ms
[2026-06-30 14:03:16] ACTION: get_clientes | PARAMS: {} | STATUS: OK | ROWS: 25000 | TIME: 1296ms
[2026-06-30 14:03:16] ACTION: get_clientes | PARAMS: {} | STATUS: OK | ROWS: 25000 | TIME: 989ms
[2026-06-30 14:03:16] ACTION: get_clientes | PARAMS: {} | STATUS: OK | ROWS: 25000 | TIME: 1165ms
[2026-06-30 14:03:44] ACTION: get_cuentas_cobrar_by_client | PARAMS: {"IdCliente":"CLI-001"} | STATUS: OK | ROWS: 0 | TIME: 8ms
[2026-06-30 14:03:44] ACTION: get_cuentas_cobrar_by_client | PARAMS: {"IdCliente":"CLI-001"} | STATUS: OK | ROWS: 0 | TIME: 9ms
[2026-06-30 14:03:44] ACTION: get_clientes | PARAMS: {} | STATUS: OK | ROWS: 25000 | TIME: 109ms
[2026-06-30 14:03:44] ACTION: get_cuentas_cobrar_by_client | PARAMS: {"IdCliente":"CLI-001"} | STATUS: OK | ROWS: 0 | TIME: 320ms
[2026-06-30 14:03:45] ACTION: get_clientes | PARAMS: {} | STATUS: OK | ROWS: 25000 | TIME: 434ms
[2026-06-30 14:03:45] ACTION: get_cuentas_cobrar_by_client | PARAMS: {"IdCliente":"CLI-001"} | STATUS: OK | ROWS: 0 | TIME: 261ms
[2026-06-30 14:03:45] ACTION: get_cuentas_cobrar_by_client | PARAMS: {"IdCliente":"CLI-001"} | STATUS: OK | ROWS: 0 | TIME: 265ms
[2026-06-30 14:04:14] ACTION: get_cuentas_cobrar_by_client | PARAMS: {"IdCliente":"CLI-001"} | STATUS: OK | ROWS: 0 | TIME: 3ms
[2026-06-30 14:04:14] ACTION: get_clientes | PARAMS: {} | STATUS: OK | ROWS: 25000 | TIME: 209ms
[2026-06-30 14:04:14] ACTION: get_cuentas_cobrar_by_client | PARAMS: {"IdCliente":"CLI-001"} | STATUS: OK | ROWS: 0 | TIME: 338ms
[2026-06-30 14:04:14] ACTION: get_clientes | PARAMS: {} | STATUS: OK | ROWS: 25000 | TIME: 379ms
[2026-06-30 14:04:15] ACTION: get_clientes | PARAMS: {} | STATUS: OK | ROWS: 25000 | TIME: 386ms
[2026-06-30 14:04:15] ACTION: get_clientes | PARAMS: {} | STATUS: OK | ROWS: 25000 | TIME: 580ms
[2026-06-30 14:04:44] ACTION: get_cuentas_cobrar_by_client | PARAMS: {"IdCliente":"CLI-001"} | STATUS: OK | ROWS: 0 | TIME: 50ms
